Date,Region,Account_ID,Scenario,Amount
2024-12-01,EMEA,304,Budget,-23232.0
2024-09-01,APAC,303,Actual,-26028.66
2024-01-01,EMEA,101,Actual,19042.53
2025-08-01,APAC,202,Budget,-20827.0
2024-10-01,APAC,102,Budget,35662.0
2024-10-01,EMEA,202,Actual,-32621.45
2025-11-01,NAM,102,Budget,12799.0
2024-03-01,LATAM,201,Actual,-9522.6
2024-12-01,LATAM,101,Actual,39377.69
2024-10-01,LATAM,201,Actual,-18158.95
2025-02-01,EMEA,201,Actual,-18148.29
2024-02-01,EMEA,202,Budget,-37218.0
2024-02-01,NAM,303,Actual,-18954.44
2025-06-01,LATAM,201,Budget,-39744.0
2025-10-01,LATAM,101,Budget,23186.0
2024-04-01,LATAM,201,Budget,-19628.0
2025-09-01,APAC,301,Budget,-8481.0
2025-03-01,APAC,304,Actual,-32746.99
2024-05-01,NAM,301,Actual,-24438.27
2025-12-01,NAM,102,Actual,9296.34
2024-03-01,NAM,202,Budget,-10485.0
2024-05-01,NAM,304,Actual,-30976.75
2024-07-01,APAC,202,Actual,-47688.54
2024-12-01,EMEA,301,Budget,-27324.0
2024-10-01,LATAM,102,Actual,22630.72
2024-04-01,APAC,102,Actual,24361.75
2025-08-01,LATAM,102,Actual,31954.37
2024-07-01,NAM,303,Budget,-33884.0
2025-03-01,LATAM,301,Budget,-44132.0
2025-07-01,LATAM,304,Budget,-26072.0
2025-02-01,NAM,101,Budget,16162.0
2025-09-01,NAM,301,Actual,-33990.16
2025-11-01,EMEA,304,Actual,-33872.49
2025-01-01,APAC,304,Budget,-44453.0
2025-12-01,EMEA,202,Budget,-31710.0
2025-05-01,LATAM,101,Actual,19296.38
2024-03-01,NAM,102,Actual,26087.16
2024-03-01,NAM,301,Budget,-25365.0
2024-12-01,NAM,303,Actual,-37418.24
2025-08-01,NAM,101,Budget,41512.0
2024-05-01,EMEA,101,Budget,33475.0
2024-02-01,LATAM,102,Actual,14125.59
2025-07-01,LATAM,102,Actual,28242.0
2024-06-01,LATAM,202,Actual,-19710.24
2025-03-01,EMEA,202,Budget,-8068.0
2025-12-01,EMEA,301,Actual,-29094.0
2024-09-01,LATAM,202,Budget,-41799.0
2024-01-01,NAM,201,Actual,-11264.86
2024-03-01,EMEA,304,Budget,-26957.0
2025-11-01,APAC,304,Budget,-13711.0
2024-07-01,LATAM,201,Budget,-9258.0
2024-02-01,LATAM,201,Budget,-38175.0
2024-02-01,APAC,301,Actual,-34756.63
2025-07-01,NAM,101,Actual,6293.22
2024-06-01,NAM,304,Budget,-49090.0
2025-02-01,NAM,202,Budget,-41829.0
2025-01-01,LATAM,301,Budget,-21382.0
2024-04-01,NAM,302,Actual,-25498.66
2024-01-01,EMEA,303,Actual,-10229.95
2025-01-01,APAC,303,Budget,-33545.0
2025-08-01,NAM,201,Actual,-24565.11
2024-05-01,NAM,302,Budget,-11855.0
2024-12-01,NAM,101,Actual,14178.37
2025-09-01,APAC,301,Budget,-20337.0
2024-12-01,APAC,101,Actual,13812.47
2025-11-01,LATAM,303,Budget,-47136.0
2025-06-01,NAM,303,Budget,-30206.0
2024-07-01,APAC,304,Actual,-32561.99
2025-08-01,NAM,102,Actual,40123.18
2024-03-01,EMEA,304,Actual,-32611.23
2025-09-01,NAM,301,Budget,-48642.0
2025-07-01,LATAM,202,Budget,-21507.0
2024-04-01,LATAM,304,Actual,-22654.27
2025-08-01,LATAM,101,Budget,49770.0
2024-04-01,LATAM,101,Budget,16439.0
2024-06-01,APAC,303,Actual,-10152.0
2025-12-01,LATAM,201,Actual,-47007.25
2024-07-01,LATAM,101,Actual,37174.56
2025-12-01,LATAM,201,Budget,-42942.0
2024-01-01,EMEA,304,Actual,-44612.18
2024-02-01,EMEA,201,Actual,-38101.99
2025-11-01,LATAM,303,Actual,-23648.67
2025-04-01,LATAM,201,Actual,-20154.16
2025-05-01,APAC,201,Actual,-28608.82
2025-10-01,NAM,304,Actual,-6014.28
2025-09-01,APAC,202,Budget,-9359.0
2025-06-01,NAM,304,Budget,-32112.0
2025-11-01,EMEA,202,Actual,-20072.55
2024-09-01,EMEA,202,Actual,-22297.0
2025-08-01,EMEA,303,Budget,-37235.0
2025-07-01,LATAM,302,Budget,-28563.0
2024-08-01,LATAM,301,Budget,-24200.0
2025-07-01,APAC,102,Budget,8797.0
2025-05-01,APAC,302,Actual,-48452.72
2024-09-01,EMEA,102,Budget,32484.0
2025-10-01,LATAM,101,Actual,47768.14
2025-06-01,LATAM,201,Budget,-11789.0
2025-02-01,LATAM,304,Budget,-7202.0
2024-01-01,NAM,301,Actual,-22140.42
2025-01-01,NAM,202,Actual,-40604.1
2024-05-01,APAC,202,Actual,-35422.78
2025-10-01,APAC,304,Actual,-19852.28
2025-05-01,NAM,304,Budget,-39519.0
2025-10-01,EMEA,102,Actual,12119.5
2025-12-01,LATAM,202,Actual,-18457.74
2024-05-01,NAM,301,Actual,-32259.83
2025-02-01,LATAM,102,Budget,36695.0
2025-10-01,NAM,201,Actual,-10280.39
2025-04-01,APAC,301,Budget,-30992.0
2025-05-01,NAM,301,Budget,-31167.0
2024-09-01,APAC,102,Actual,6735.29
2024-11-01,NAM,304,Actual,-18761.21
2024-03-01,APAC,303,Actual,-15000.16
2025-03-01,APAC,304,Actual,-14506.9
2024-09-01,NAM,102,Actual,8612.33
2025-06-01,NAM,202,Budget,-12234.0
2025-03-01,EMEA,301,Actual,-37402.8
2024-03-01,NAM,304,Budget,-24830.0
2025-04-01,LATAM,201,Actual,-29155.32
2024-04-01,NAM,102,Budget,43311.0
2024-02-01,LATAM,304,Budget,-39680.0
2025-07-01,LATAM,302,Budget,-24358.0
2024-05-01,NAM,301,Actual,-36397.28
2025-05-01,LATAM,301,Actual,-30637.48
2025-04-01,EMEA,201,Actual,-24112.55
2024-05-01,APAC,301,Budget,-28227.0
2024-12-01,EMEA,101,Budget,28408.0
2024-01-01,NAM,303,Actual,-47479.5
2024-01-01,APAC,302,Budget,-41394.0
2025-08-01,NAM,301,Actual,-29602.97
2025-03-01,LATAM,101,Budget,16251.0
2024-12-01,LATAM,202,Actual,-27777.78
2025-02-01,LATAM,302,Budget,-15024.0
2025-04-01,APAC,202,Actual,-48609.13
2025-09-01,NAM,101,Budget,38548.0
2024-04-01,EMEA,101,Actual,39455.12
2024-03-01,NAM,302,Budget,-49302.0
2024-08-01,NAM,102,Actual,39262.62
2024-10-01,APAC,101,Budget,34302.0
2024-12-01,NAM,102,Actual,11110.03
2024-06-01,NAM,303,Budget,-34439.0
2024-04-01,NAM,302,Actual,-12776.38
2024-01-01,NAM,102,Budget,46435.0
2025-03-01,NAM,301,Actual,-47302.41
2025-05-01,APAC,302,Actual,-23062.67
2024-01-01,LATAM,302,Actual,-34240.18
2025-02-01,EMEA,101,Actual,6125.34
2024-04-01,NAM,301,Actual,-37013.99
2025-01-01,EMEA,202,Actual,-22440.48
2025-10-01,NAM,202,Budget,-19450.0
2025-03-01,EMEA,302,Budget,-15681.0
2024-03-01,NAM,301,Actual,-44959.27
2024-05-01,LATAM,202,Actual,-42877.31
2025-11-01,LATAM,301,Actual,-28772.84
2025-04-01,APAC,303,Budget,-38829.0
2024-05-01,LATAM,102,Budget,32291.0
2025-05-01,LATAM,304,Budget,-22081.0
2024-07-01,NAM,303,Budget,-38096.0
2024-06-01,LATAM,303,Actual,-40906.6
2025-01-01,APAC,301,Budget,-34229.0
2025-09-01,LATAM,102,Actual,12492.19
2025-10-01,APAC,301,Budget,-21311.0
2024-11-01,APAC,202,Budget,-16401.0
2024-06-01,APAC,102,Budget,40141.0
2024-05-01,EMEA,202,Budget,-10385.0
2024-11-01,LATAM,202,Actual,-39473.63
2025-10-01,APAC,201,Actual,-30458.0
2024-09-01,LATAM,102,Budget,41554.0
2024-01-01,LATAM,303,Actual,-36863.84
2025-09-01,EMEA,101,Budget,34917.0
2024-06-01,APAC,102,Budget,45679.0
2025-07-01,LATAM,304,Budget,-21738.0
2024-02-01,NAM,304,Actual,-24124.66
2025-03-01,APAC,302,Actual,-13128.25
2025-10-01,LATAM,302,Budget,-11447.0
2024-10-01,LATAM,303,Budget,-5362.0
2024-12-01,NAM,201,Budget,-42485.0
2025-01-01,APAC,303,Actual,-24847.4
2024-10-01,APAC,102,Actual,24984.04
2024-08-01,APAC,201,Budget,-24994.0
2025-01-01,LATAM,303,Actual,-37754.98
2025-10-01,APAC,101,Budget,20227.0
2025-02-01,EMEA,101,Budget,35264.0
2024-10-01,NAM,202,Budget,-35136.0
2025-05-01,NAM,101,Actual,26832.92
2025-10-01,EMEA,301,Budget,-5214.0
2024-10-01,NAM,102,Budget,5860.0
2025-02-01,LATAM,101,Actual,31197.43
2024-10-01,EMEA,102,Actual,15338.1
2025-06-01,LATAM,303,Actual,-43423.66
2024-05-01,NAM,303,Actual,-43456.52
2025-03-01,NAM,202,Actual,-32779.96
2025-01-01,LATAM,302,Actual,-17609.66
2025-09-01,NAM,201,Actual,-16746.61
2024-02-01,APAC,101,Actual,14129.21
2025-05-01,NAM,302,Actual,-29946.2
2024-11-01,LATAM,301,Budget,-8313.0
2024-06-01,EMEA,303,Budget,-27739.0
2025-09-01,NAM,304,Budget,-47463.0
2025-03-01,LATAM,101,Actual,27451.02
2024-09-01,APAC,201,Actual,-44174.97
2024-08-01,NAM,102,Actual,51439.85
2024-01-01,NAM,102,Budget,41818.0
2024-09-01,EMEA,302,Budget,-20251.0
2024-09-01,LATAM,101,Actual,27232.27
2024-11-01,LATAM,202,Budget,-34162.0
2024-07-01,NAM,202,Actual,-35738.16
2024-02-01,APAC,201,Actual,-35778.66
2025-11-01,LATAM,102,Actual,28911.01
2024-12-01,EMEA,301,Actual,-33423.07
2024-10-01,LATAM,303,Actual,-15844.62
2024-02-01,LATAM,303,Actual,-16637.47
2025-01-01,LATAM,302,Actual,-28297.26
2024-09-01,EMEA,302,Budget,-38304.0
2025-01-01,NAM,202,Actual,-39564.97
2024-04-01,EMEA,304,Budget,-33665.0
2024-04-01,APAC,301,Actual,-31028.51
2025-12-01,LATAM,302,Actual,-36964.5
2025-06-01,NAM,304,Actual,-12163.92
2025-02-01,LATAM,101,Budget,12332.0
2025-03-01,LATAM,303,Actual,-34637.01
2024-11-01,LATAM,102,Actual,38160.78
2024-02-01,APAC,302,Budget,-5889.0
2025-10-01,APAC,301,Budget,-20028.0
2025-11-01,NAM,302,Budget,-20984.0
2024-05-01,EMEA,102,Actual,21163.44
2025-01-01,APAC,101,Budget,8301.0
2024-08-01,EMEA,302,Budget,-21290.0
2024-09-01,LATAM,301,Actual,-37505.26
2025-07-01,LATAM,302,Budget,-26921.0
2025-08-01,EMEA,101,Actual,26596.75
2024-09-01,EMEA,302,Actual,-23804.52
2025-08-01,NAM,202,Actual,-39927.29
2025-11-01,NAM,101,Budget,39427.0
2025-09-01,LATAM,101,Budget,26928.0
2025-03-01,APAC,303,Actual,-5602.86
2024-10-01,NAM,303,Budget,-35597.0
2024-12-01,EMEA,101,Actual,41314.97
2024-10-01,EMEA,102,Actual,9488.88
2025-12-01,LATAM,301,Actual,-23443.58
2024-04-01,LATAM,101,Actual,35156.03
2024-11-01,APAC,102,Actual,9274.79
2025-05-01,EMEA,301,Actual,-6263.43
2024-04-01,LATAM,304,Actual,-13787.67
2025-12-01,EMEA,301,Budget,-10933.0
2024-07-01,APAC,303,Actual,-41065.51
2025-02-01,EMEA,303,Budget,-18815.0
2024-06-01,LATAM,301,Actual,-46665.53
2024-09-01,LATAM,201,Budget,-25531.0
2024-07-01,LATAM,101,Actual,28173.99
2025-09-01,APAC,201,Budget,-20830.0
2024-01-01,NAM,301,Actual,-12123.78
2025-04-01,NAM,302,Budget,-44772.0
2025-04-01,EMEA,304,Budget,-32294.0
2025-05-01,LATAM,202,Budget,-45285.0
2024-07-01,LATAM,202,Budget,-42208.0
2024-07-01,EMEA,302,Actual,-22654.89
2025-07-01,LATAM,302,Actual,-21862.1
2024-11-01,NAM,201,Budget,-17904.0
2024-01-01,LATAM,202,Budget,-29724.0
2024-08-01,APAC,304,Budget,-25971.0
2025-05-01,NAM,302,Actual,-13119.63
2024-05-01,APAC,101,Actual,5500.36
2025-01-01,NAM,201,Budget,-21488.0
2024-11-01,APAC,102,Actual,44754.53
2024-05-01,APAC,101,Actual,25901.99
2024-12-01,APAC,302,Budget,-30707.0
2025-02-01,LATAM,302,Actual,-29413.94
2025-12-01,NAM,101,Actual,53055.05
2025-04-01,EMEA,301,Budget,-40837.0
2025-02-01,EMEA,202,Actual,-19185.87
2025-09-01,EMEA,301,Actual,-11942.73
2025-12-01,APAC,302,Budget,-16160.0
2024-01-01,EMEA,102,Actual,37082.69
2024-11-01,LATAM,303,Budget,-7893.0
2025-09-01,NAM,301,Actual,-28468.12
2024-12-01,NAM,202,Actual,-44836.52
2024-08-01,LATAM,303,Budget,-10253.0
2025-08-01,APAC,301,Budget,-43121.0
2025-07-01,LATAM,301,Actual,-23692.94
2024-03-01,EMEA,201,Budget,-8111.0
2025-06-01,EMEA,302,Actual,-18070.17
2024-06-01,LATAM,302,Actual,-13642.79
2025-06-01,NAM,202,Budget,-5085.0
2024-10-01,APAC,101,Actual,39530.26
2025-04-01,EMEA,303,Actual,-22063.72
2024-02-01,APAC,303,Budget,-8425.0
2024-10-01,APAC,102,Actual,21224.88
2024-07-01,LATAM,302,Actual,-39894.71
2024-06-01,NAM,304,Budget,-44881.0
2024-09-01,APAC,202,Actual,-6184.51
2025-11-01,APAC,201,Actual,-29128.32
2024-12-01,EMEA,302,Actual,-36809.66
2025-06-01,EMEA,303,Actual,-51404.83
2025-01-01,EMEA,304,Actual,-30515.9
2024-02-01,NAM,302,Actual,-9588.93
2024-01-01,NAM,302,Budget,-41237.0
2025-07-01,LATAM,201,Actual,-40327.65
2024-06-01,NAM,201,Budget,-8992.0
2024-02-01,APAC,301,Budget,-6906.0
2025-08-01,APAC,202,Actual,-44062.23
2024-03-01,LATAM,201,Actual,-14206.33
2024-05-01,APAC,304,Budget,-13496.0
2024-03-01,APAC,303,Budget,-47012.0
2024-10-01,NAM,102,Budget,16600.0
2024-07-01,APAC,101,Actual,37810.6
2025-02-01,APAC,302,Actual,-29252.42
2024-09-01,APAC,201,Budget,-23625.0
2025-09-01,LATAM,102,Budget,21875.0
2025-12-01,LATAM,301,Actual,-35205.76
2025-08-01,NAM,304,Actual,-9804.04
2024-04-01,APAC,304,Actual,-23335.65
2024-08-01,LATAM,304,Actual,-7844.87
2024-03-01,EMEA,202,Budget,-32840.0
2024-04-01,NAM,302,Budget,-22730.0
2025-12-01,NAM,201,Budget,-23978.0
2024-02-01,LATAM,202,Actual,-12669.91
2025-04-01,APAC,101,Budget,24349.0
2024-09-01,NAM,301,Actual,-14256.76
2025-09-01,NAM,101,Budget,14736.0
2025-05-01,APAC,101,Actual,25415.43
2025-03-01,NAM,302,Actual,-33705.03
2025-05-01,APAC,201,Budget,-9019.0
2025-03-01,LATAM,304,Budget,-9016.0
2024-07-01,APAC,301,Budget,-47781.0
2025-12-01,NAM,304,Actual,-32958.29
2024-04-01,NAM,303,Actual,-48202.28
2025-10-01,NAM,304,Budget,-7780.0
2024-05-01,LATAM,101,Budget,42503.0
2025-04-01,APAC,303,Budget,-24637.0
2025-02-01,EMEA,304,Actual,-44279.89
2024-02-01,EMEA,302,Actual,-13402.74
2024-10-01,NAM,101,Budget,37018.0
2025-12-01,EMEA,301,Actual,-13196.22
2025-03-01,LATAM,302,Actual,-44651.49
2025-06-01,APAC,202,Budget,-37226.0
2025-09-01,EMEA,304,Budget,-12538.0
2025-10-01,LATAM,301,Budget,-7618.0
2024-12-01,LATAM,304,Actual,-34348.21
2024-03-01,LATAM,201,Actual,-24892.91
2024-05-01,APAC,303,Actual,-15852.52
2024-07-01,NAM,304,Actual,-35863.6
2025-03-01,EMEA,302,Actual,-15266.03
2024-01-01,APAC,302,Actual,-44846.96
2024-01-01,APAC,301,Actual,-41356.41
2024-01-01,LATAM,304,Budget,-12719.0
2024-03-01,APAC,303,Budget,-39073.0
2024-06-01,APAC,202,Actual,-11311.14
2024-10-01,APAC,201,Actual,-43837.13
2024-11-01,NAM,304,Budget,-49442.0
2025-04-01,APAC,301,Budget,-39864.0
2024-07-01,APAC,301,Budget,-24545.0
2024-05-01,NAM,302,Budget,-22983.0
2024-09-01,APAC,303,Actual,-27573.19
2025-04-01,APAC,201,Budget,-29597.0
2025-01-01,LATAM,304,Actual,-44722.42
2025-05-01,EMEA,102,Actual,25330.19
2024-04-01,LATAM,101,Budget,41024.0
2025-04-01,LATAM,303,Actual,-43133.22
2024-03-01,LATAM,101,Budget,33065.0
2025-07-01,APAC,102,Actual,14589.43
2025-05-01,EMEA,303,Actual,-7330.6
2025-04-01,EMEA,304,Actual,-42371.2
2025-07-01,LATAM,301,Actual,-34941.73
2025-07-01,NAM,303,Budget,-36250.0
2025-01-01,NAM,202,Budget,-18004.0
2024-10-01,LATAM,101,Actual,29087.1
2024-02-01,APAC,302,Actual,-8630.25
2025-08-01,NAM,201,Budget,-32955.0
2024-03-01,LATAM,202,Actual,-14699.38
2024-12-01,LATAM,302,Actual,-42242.94
2025-10-01,NAM,101,Actual,53905.63
2024-01-01,EMEA,301,Actual,-33626.45
2024-10-01,APAC,101,Budget,6344.0
2024-11-01,APAC,302,Actual,-15148.95
2025-08-01,EMEA,304,Budget,-18134.0
2024-11-01,EMEA,302,Budget,-26460.0
2024-12-01,LATAM,301,Actual,-19288.29
2024-05-01,NAM,202,Actual,-14188.71
2024-02-01,APAC,301,Budget,-24943.0
2025-05-01,EMEA,304,Actual,-44207.65
2024-11-01,LATAM,304,Actual,-12194.81
2024-08-01,APAC,102,Actual,44140.64
2024-05-01,NAM,304,Budget,-26127.0
2025-05-01,EMEA,202,Budget,-12133.0
2025-08-01,APAC,304,Budget,-39956.0
2024-02-01,LATAM,304,Actual,-22036.12
2025-01-01,LATAM,303,Budget,-17919.0
2025-06-01,APAC,202,Actual,-8948.74
2025-07-01,APAC,303,Actual,-46824.95
2025-11-01,NAM,101,Budget,32158.0
2024-07-01,NAM,303,Actual,-33736.76
2025-08-01,APAC,201,Budget,-18230.0
2024-12-01,NAM,301,Actual,-38504.17
2024-11-01,EMEA,304,Actual,-8679.13
2025-04-01,NAM,201,Actual,-23234.28
2025-03-01,APAC,304,Budget,-33230.0
2025-01-01,EMEA,201,Budget,-22311.0
2025-07-01,APAC,303,Budget,-26709.0
2025-08-01,LATAM,101,Budget,25397.0
2024-04-01,LATAM,303,Budget,-35986.0
2024-12-01,NAM,201,Budget,-20644.0
2024-02-01,NAM,102,Actual,43612.5
2024-05-01,APAC,302,Actual,-33930.6
2025-11-01,APAC,303,Actual,-15927.02
2025-07-01,APAC,101,Actual,42401.22
2025-05-01,LATAM,202,Budget,-34562.0
2024-09-01,EMEA,202,Budget,-5345.0
2024-02-01,EMEA,304,Actual,-15795.12
2024-12-01,EMEA,102,Actual,8442.97
2024-05-01,LATAM,102,Actual,43680.84
2024-03-01,LATAM,102,Actual,19599.24
2024-04-01,APAC,102,Actual,33884.42
2025-04-01,EMEA,302,Actual,-52644.03
2025-08-01,APAC,102,Actual,25920.75
2025-12-01,EMEA,202,Budget,-20640.0
2025-04-01,APAC,102,Actual,41302.02
2024-03-01,LATAM,101,Actual,16550.27
2025-05-01,LATAM,102,Budget,22840.0
2024-09-01,EMEA,304,Budget,-34123.0
2025-07-01,LATAM,201,Budget,-13838.0
2025-08-01,LATAM,102,Actual,56083.3
2025-04-01,APAC,302,Actual,-46627.48
2024-02-01,EMEA,202,Budget,-34251.0
2025-04-01,NAM,101,Actual,11513.72
2025-07-01,EMEA,101,Budget,12211.0
2024-02-01,APAC,101,Budget,41461.0
2025-09-01,APAC,202,Budget,-13986.0
2025-11-01,LATAM,201,Budget,-30667.0
2024-10-01,EMEA,303,Budget,-38550.0
2024-08-01,LATAM,303,Actual,-47029.78
2024-08-01,APAC,301,Budget,-20260.0
2025-04-01,NAM,303,Actual,-14389.82
2024-05-01,EMEA,102,Actual,19151.01
2024-04-01,LATAM,301,Budget,-27670.0
2024-12-01,APAC,102,Actual,8596.25
2024-11-01,NAM,301,Budget,-45239.0
2024-03-01,LATAM,201,Budget,-39309.0
2025-01-01,EMEA,302,Actual,-26477.32
2025-03-01,APAC,304,Actual,-44263.32
2025-07-01,EMEA,301,Actual,-34317.27
2025-07-01,LATAM,101,Actual,19820.14
2025-01-01,EMEA,301,Actual,-37074.47
2025-10-01,EMEA,102,Budget,21816.0
2025-03-01,LATAM,303,Budget,-13116.0
2025-09-01,APAC,202,Budget,-46374.0
2025-08-01,EMEA,302,Actual,-15379.69
2024-05-01,EMEA,102,Actual,18494.58
2025-04-01,EMEA,101,Actual,46674.72
2025-02-01,APAC,102,Actual,7885.4
2025-04-01,APAC,302,Budget,-39505.0
2025-03-01,EMEA,303,Actual,-16039.28
2025-08-01,NAM,303,Actual,-35371.87
2025-03-01,LATAM,303,Budget,-21396.0
2024-02-01,EMEA,302,Actual,-37222.56
2025-11-01,LATAM,303,Budget,-21163.0
2024-04-01,EMEA,202,Budget,-24416.0
2024-11-01,NAM,102,Budget,18715.0
2025-11-01,APAC,101,Budget,19054.0
2024-02-01,NAM,101,Budget,25935.0
2024-01-01,EMEA,102,Actual,34986.95
2024-03-01,EMEA,101,Budget,46389.0
2024-07-01,EMEA,102,Actual,21035.75
2024-03-01,EMEA,302,Actual,-13996.2
2025-12-01,LATAM,101,Actual,25435.87
2025-09-01,EMEA,202,Budget,-17158.0
2025-07-01,NAM,202,Actual,-43361.73
2025-08-01,NAM,201,Budget,-36277.0
2025-06-01,EMEA,102,Budget,16186.0
2025-10-01,APAC,303,Actual,-34232.4
2025-07-01,EMEA,201,Actual,-35010.35
2025-11-01,EMEA,303,Actual,-18772.42
2024-05-01,APAC,101,Budget,19454.0
2025-07-01,EMEA,304,Actual,-6416.23
2025-10-01,LATAM,202,Budget,-19923.0
2024-10-01,APAC,304,Budget,-25744.0
2025-12-01,APAC,302,Budget,-6863.0
2024-09-01,LATAM,302,Budget,-13081.0
2025-03-01,APAC,201,Budget,-34444.0
2025-12-01,APAC,202,Actual,-13208.75
2024-06-01,NAM,201,Budget,-17697.0
2025-12-01,EMEA,302,Actual,-8127.13
2025-11-01,APAC,202,Actual,-21333.98
2024-12-01,APAC,101,Budget,25061.0
2024-05-01,EMEA,201,Actual,-17973.91
2025-04-01,APAC,201,Actual,-26033.86
2025-07-01,NAM,301,Actual,-7595.86
2025-04-01,APAC,101,Budget,9261.0
2024-07-01,APAC,301,Budget,-46936.0
2024-05-01,NAM,102,Budget,24005.0
2025-10-01,NAM,304,Actual,-47539.13
2024-02-01,LATAM,101,Budget,18608.0
2024-11-01,NAM,301,Budget,-7552.0
2024-10-01,EMEA,201,Budget,-31228.0
2025-07-01,LATAM,201,Budget,-25825.0
2024-02-01,NAM,201,Budget,-15683.0
2025-08-01,NAM,202,Actual,-43095.19
2025-09-01,LATAM,302,Actual,-19945.66
2025-09-01,LATAM,302,Actual,-14790.52
2025-06-01,NAM,302,Actual,-6168.69
2024-04-01,EMEA,202,Actual,-8118.76
2025-07-01,APAC,201,Actual,-13995.54
2024-12-01,EMEA,201,Budget,-23326.0
2024-01-01,LATAM,201,Budget,-33776.0
2025-06-01,LATAM,201,Budget,-25296.0
2025-08-01,LATAM,101,Budget,32793.0
2025-12-01,NAM,201,Actual,-20147.54
2025-10-01,NAM,304,Budget,-11008.0
2024-08-01,LATAM,301,Budget,-31706.0
2024-07-01,APAC,301,Budget,-45970.0
2024-08-01,EMEA,202,Budget,-29297.0
2024-09-01,LATAM,101,Actual,31680.7
2025-03-01,EMEA,102,Actual,50229.24
2025-10-01,APAC,302,Actual,-10044.3
2025-01-01,NAM,303,Actual,-31740.58
2025-11-01,LATAM,101,Actual,13640.08
2024-09-01,LATAM,303,Budget,-40242.0
